original_name,pinyin_name,new_filename,mass_kg
kuangjia\Robot - 挡板上面-1.STL,robot____dang_ban_shang_mian__1,robot____dang_ban_shang_mian__1.stl,0.0001
kuangjia\Robot - 挡板上面-2.STL,robot____dang_ban_shang_mian__2,robot____dang_ban_shang_mian__2.stl,0.0001
kuangjia\Robot - 挡板下面-1.STL,robot____dang_ban_xia_mian__1,robot____dang_ban_xia_mian__1.stl,0.0001
kuangjia\Robot - 挡板中间-1.STL,robot____dang_ban_zhong_jian__1,robot____dang_ban_zhong_jian__1.stl,0.0001
kuangjia\Robot - 挡板中间-2.STL,robot____dang_ban_zhong_jian__2,robot____dang_ban_zhong_jian__2.stl,0.0001
kuangjia\Robot - 挡板前后-1.STL,robot____dang_ban_qian_hou__1,robot____dang_ban_qian_hou__1.stl,0.0001
kuangjia\Robot - 挡板前后-2.STL,robot____dang_ban_qian_hou__2,robot____dang_ban_qian_hou__2.stl,0.0001
kuangjia\Robot - 挡板左右-1.STL,robot____dang_ban_zuo_you__1,robot____dang_ban_zuo_you__1.stl,0.0001
kuangjia\Robot - 挡板左右-2.STL,robot____dang_ban_zuo_you__2,robot____dang_ban_zuo_you__2.stl,0.0001
kuangjia\Robot - 爪子-1 爪子扳机-1.STL,robot____zhua_zi__1__zhua_zi_ban_ji__1,robot____zhua_zi__1__zhua_zi_ban_ji__1.stl,0.0001
kuangjia\Robot - 爪子-1 爪子连接板-1.STL,robot____zhua_zi__1__zhua_zi_lian_jie_ban__1,robot____zhua_zi__1__zhua_zi_lian_jie_ban__1.stl,0.0001
kuangjia\Robot - 爪锁-1.STL,robot____zhao_suo__1,robot____zhao_suo__1.stl,0.0001
kuangjia\Robot - 电机支架侧推-1.STL,robot____dian_ji_zhi_jia_ce_tui__1,robot____dian_ji_zhi_jia_ce_tui__1.stl,0.0001
kuangjia\Robot - 电机支架侧推-2.STL,robot____dian_ji_zhi_jia_ce_tui__2,robot____dian_ji_zhi_jia_ce_tui__2.stl,0.0001
kuangjia\Robot - 电机支架侧推-3.STL,robot____dian_ji_zhi_jia_ce_tui__3,robot____dian_ji_zhi_jia_ce_tui__3.stl,0.0001
kuangjia\Robot - 电机支架侧推-4.STL,robot____dian_ji_zhi_jia_ce_tui__4,robot____dian_ji_zhi_jia_ce_tui__4.stl,0.0001
kuangjia\Robot - 电机支架垂推-1.STL,robot____dian_ji_zhi_jia_chui_tui__1,robot____dian_ji_zhi_jia_chui_tui__1.stl,0.0001
kuangjia\Robot - 电机支架垂推-2.STL,robot____dian_ji_zhi_jia_chui_tui__2,robot____dian_ji_zhi_jia_chui_tui__2.stl,0.0001
